ts=1404982399, bytes_sent=37799793, bytes_recv=37799793, packets_sent=121051, packets_recv=121051, errin=0, errout=0, dropin=0, dropout=0
ts=1404982404, bytes_sent=37800893, bytes_recv=37800893, packets_sent=121066, packets_recv=121066, errin=0, errout=0, dropin=0, dropout=0
ts=1404982409, bytes_sent=37800941, bytes_recv=37800941, packets_sent=121067, packets_recv=121067, errin=0, errout=0, dropin=0, dropout=0
ts=1404982414, bytes_sent=37801829, bytes_recv=37801829, packets_sent=121079, packets_recv=121079, errin=0, errout=0, dropin=0, dropout=0
ts=1404982419, bytes_sent=37801877, bytes_recv=37801877, packets_sent=121080, packets_recv=121080, errin=0, errout=0, dropin=0, dropout=0
ts=1404982424, bytes_sent=37802813, bytes_recv=37802813, packets_sent=121093, packets_recv=121093, errin=0, errout=0, dropin=0, dropout=0
ts=1404982429, bytes_sent=37802861, bytes_recv=37802861, packets_sent=121094, packets_recv=121094, errin=0, errout=0, dropin=0, dropout=0
ts=1404982434, bytes_sent=37803749, bytes_recv=37803749, packets_sent=121106, packets_recv=121106, errin=0, errout=0, dropin=0, dropout=0
ts=1404982439, bytes_sent=37803797, bytes_recv=37803797, packets_sent=121107, packets_recv=121107, errin=0, errout=0, dropin=0, dropout=0
ts=1404982444, bytes_sent=37805061, bytes_recv=37805061, packets_sent=121124, packets_recv=121124, errin=0, errout=0, dropin=0, dropout=0
ts=1404982449, bytes_sent=37805225, bytes_recv=37805225, packets_sent=121126, packets_recv=121126, errin=0, errout=0, dropin=0, dropout=0
ts=1404982454, bytes_sent=37992825, bytes_recv=37992825, packets_sent=122033, packets_recv=122033, errin=0, errout=0, dropin=0, dropout=0
ts=1404982459, bytes_sent=38252838, bytes_recv=38252838, packets_sent=123510, packets_recv=123510, errin=0, errout=0, dropin=0, dropout=0
ts=1404982464, bytes_sent=38253774, bytes_recv=38253774, packets_sent=123523, packets_recv=123523, errin=0, errout=0, dropin=0, dropout=0
ts=1404982469, bytes_sent=38253774, bytes_recv=38253774, packets_sent=123523, packets_recv=123523, errin=0, errout=0, dropin=0, dropout=0
ts=1404982474, bytes_sent=38254710, bytes_recv=38254710, packets_sent=123536, packets_recv=123536, errin=0, errout=0, dropin=0, dropout=0
ts=1404982479, bytes_sent=38254758, bytes_recv=38254758, packets_sent=123537, packets_recv=123537, errin=0, errout=0, dropin=0, dropout=0
ts=1404982484, bytes_sent=38255646, bytes_recv=38255646, packets_sent=123549, packets_recv=123549, errin=0, errout=0, dropin=0, dropout=0
ts=1404982489, bytes_sent=38255694, bytes_recv=38255694, packets_sent=123550, packets_recv=123550, errin=0, errout=0, dropin=0, dropout=0
ts=1404982494, bytes_sent=38256958, bytes_recv=38256958, packets_sent=123567, packets_recv=123567, errin=0, errout=0, dropin=0, dropout=0
ts=1404982499, bytes_sent=38257122, bytes_recv=38257122, packets_sent=123569, packets_recv=123569, errin=0, errout=0, dropin=0, dropout=0
ts=1404982504, bytes_sent=38258222, bytes_recv=38258222, packets_sent=123584, packets_recv=123584, errin=0, errout=0, dropin=0, dropout=0
ts=1404982510, bytes_sent=38258270, bytes_recv=38258270, packets_sent=123585, packets_recv=123585, errin=0, errout=0, dropin=0, dropout=0
ts=1404982515, bytes_sent=38341480, bytes_recv=38341480, packets_sent=124208, packets_recv=124208, errin=0, errout=0, dropin=0, dropout=0
